projection_function	clustering_algorithm	n_cubes	perc_overlap	unclustered_samples	num_clusters	num_edges	num_connected_components	std_dev_cluster_sizes	combined_score
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	10	0.25	5	10	9	1	138.345256514273	0.8500000000000001
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	10	0.5	0	11	10	1	195.2197321011708	1.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	10	0.75	0	10	24	1	302.32029372835694	0.9099999999999999
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	15	0.1	17	12	11	1	88.66118404101964	0.49
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	15	0.25	7	14	13	1	105.48324172926374	0.77
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	15	0.5	3	15	14	1	141.2198601078789	0.8800000000000001
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	15	0.75	0	16	42	1	243.32023009811576	0.69
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	20	0.1	19	16	13	3	62.016630833994846	0.33
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	20	0.25	15	16	15	1	71.94917368358027	0.51
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	20	0.5	11	17	16	1	111.92143809162867	0.61
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	20	0.75	0	20	54	1	198.5649704756607	0.5299999999999999
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	30	0.1	21	23	20	3	45.26147516614434	0.15
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	30	0.25	20	23	22	1	57.262668751239474	0.21999999999999997
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	30	0.5	17	24	23	1	75.57152608989416	0.2899999999999999
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	30	0.75	0	29	81	1	141.1786549165376	0.16999999999999987
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	50	0.1	56	30	25	5	28.59292841867645	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	50	0.25	49	31	27	4	31.8695637669082	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	50	0.5	19	37	35	2	46.55706458708139	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=5.0)	50	0.75	8	42	117	2	89.57285890354396	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	5	0.1	0	5	4	1	218.98620961147302	0.9000000000000001
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	5	0.25	0	5	4	1	244.71093150899492	0.9000000000000001
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	5	0.5	0	5	4	1	301.16812580351194	0.9000000000000001
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	5	0.75	0	5	9	1	229.34916612013222	0.95
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	10	0.1	0	10	8	2	120.83794933711842	0.96
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	10	0.25	0	10	9	1	137.81730660552034	1.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	10	0.5	0	10	9	1	195.74738823289573	1.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	10	0.75	0	10	24	1	302.32029372835694	0.9099999999999999
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	15	0.1	3	14	12	2	87.59452620117403	0.8600000000000001
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	15	0.25	0	15	14	1	104.19929622283125	0.97
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	15	0.5	0	15	14	1	140.64227276636598	0.97
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	15	0.75	0	15	39	1	242.25958529368177	0.73
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	20	0.1	8	17	15	2	61.46453671310312	0.68
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	20	0.25	3	18	16	2	71.4687188760074	0.81
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	20	0.5	0	20	19	1	110.0413104247673	0.8800000000000001
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	20	0.75	0	20	54	1	198.18760682747043	0.5299999999999999
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	30	0.1	10	24	20	4	44.90816246024274	0.44
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	30	0.25	7	25	23	2	56.653981325234334	0.55
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	30	0.5	3	27	26	1	74.80203411184908	0.6499999999999999
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	30	0.75	0	30	84	1	140.43692138782055	0.12999999999999995
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	50	0.1	39	32	25	7	28.36481094595908	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	50	0.25	15	38	33	5	31.509144343909416	0.0
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	50	0.5	9	40	38	2	46.299399294159315	0.18999999999999995
PCA(n_components=1, random_state=0)	DBSCAN(eps=10.0)	50	0.75	1	47	134	1	88.60830331820341	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	5	0.1	0	5	4	1	218.98620961147302	0.9000000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	5	0.25	0	5	4	1	244.71093150899492	0.9000000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	5	0.5	0	5	4	1	301.16812580351194	0.9000000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	5	0.75	0	5	9	1	229.34916612013222	0.95
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	10	0.1	0	10	8	2	120.83794933711842	0.96
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	10	0.25	0	10	9	1	137.81730660552034	1.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	10	0.5	0	10	9	1	195.74738823289573	1.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	10	0.75	0	10	24	1	302.32029372835694	0.9099999999999999
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	15	0.1	0	15	13	2	86.85226281194724	0.94
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	15	0.25	0	15	14	1	104.19929622283125	0.97
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	15	0.5	0	15	14	1	140.64227276636598	0.97
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	15	0.75	0	15	39	1	242.25958529368177	0.73
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	20	0.1	0	20	16	4	60.65764584947227	0.82
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	20	0.25	0	20	18	2	70.84721236576637	0.86
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	20	0.5	0	20	19	1	110.0413104247673	0.8800000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	20	0.75	0	20	54	1	198.18760682747043	0.5299999999999999
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	30	0.1	1	28	23	5	44.16729559300637	0.61
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	30	0.25	1	28	26	2	55.9045743081139	0.67
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	30	0.5	0	30	29	1	74.03134471289846	0.6799999999999999
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	30	0.75	0	30	84	1	140.43692138782055	0.12999999999999995
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	50	0.1	6	42	26	16	27.738412015358538	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	50	0.25	4	44	37	7	31.131046327654094	0.15999999999999992
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	50	0.5	2	46	44	2	45.89412077119529	0.2799999999999999
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(random_state=0)	50	0.75	0	50	143	1	88.06130591809321	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	5	0.1	0	10	13	1	121.04891573244264	1.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	5	0.25	0	10	14	1	167.45032099103304	1.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	5	0.5	0	10	14	1	212.30310878552862	1.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	5	0.75	0	10	32	1	268.8754544394114	0.8300000000000001
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	10	0.1	0	20	19	5	63.21572193687263	0.76
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	10	0.25	0	20	28	2	83.41778887024039	0.76
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	10	0.5	0	20	31	1	113.84072206376767	0.76
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	10	0.75	0	20	85	1	193.48718303805035	0.21999999999999997
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	15	0.1	0	30	28	8	49.49591453398508	0.48
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	15	0.25	0	30	42	1	57.00678322211606	0.55
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	15	0.5	0	30	47	1	88.5925818314127	0.5
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	15	0.75	0	30	138	1	154.45288386214528	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	20	0.1	0	40	30	12	34.71148945234128	0.23999999999999994
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	20	0.25	0	40	48	4	46.25737103424707	0.29999999999999993
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	20	0.5	0	40	61	1	61.521520624900035	0.2599999999999999
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	20	0.75	0	40	183	1	129.62665379851475	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	30	0.1	1	56	46	20	28.30210113351001	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	30	0.25	1	56	66	11	35.409467055335035	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	30	0.5	0	60	82	3	43.77415523647106	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	30	0.75	0	60	264	1	81.82633371286343	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	50	0.1	6	84	46	43	17.930689813507136	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	50	0.25	4	88	87	23	19.902211217943506	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	50	0.5	2	92	127	5	28.139832782657344	0.0
PCA(n_components=1, random_state=0)	BayesianGaussianMixture(n_components=2, random_state=0)	50	0.75	0	100	416	1	50.76512976443574	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	5	0.1	0	492	64	428	5.619468439305711	0.0
PCA(n_components=1, random_state=0)	AgglomerativeClustering(distance_threshold=1.0, n_clusters=None)	5	0.25	0	603	176	427	5.1815903811605555	0.0
